	Mean_cyto	Mean_total	log2FoldChange	lfcSE	pvalue	padj
FBgn0001219	103747.1858	40887.79543	1.342268824	0.037117343	2.3372E-286	3.3101E-284
FBgn0036366	2204.17217	298.5776072	2.874110269	0.079771824	2.9264E-284	4.098E-282
FBgn0028737	42550.96819	5518.388389	2.93770154	0.081736613	6.9781E-283	9.6632E-281
FBgn0260962	1132.664929	4113.628905	-1.858638294	0.05178567	4.2242E-282	5.7853E-280
FBgn0003922	34007.08895	1555.493018	4.424405044	0.123798923	9.9329E-280	1.3456E-277
FBgn0000611	455.1134349	3324.324553	-2.863842338	0.08077947	2.6449E-275	3.5445E-273
FBgn0005655	8075.088138	2291.823924	1.813726222	0.051536971	2.584E-271	3.426E-269
FBgn0015509	2437.676985	6341.403116	-1.377933479	0.039294879	2.1863E-269	2.8681E-267
FBgn0029594	2796.820928	457.0163698	2.607522234	0.075210696	2.2659E-263	2.9416E-261
FBgn0032935	2421.450066	586.0789484	2.045282756	0.059154575	5.9562E-262	7.6528E-260
FBgn0003920	31688.5341	1458.696084	4.413273113	0.127869958	4.9873E-261	6.3425E-259
FBgn0262636	2349.610674	165.1808376	3.802520991	0.110454697	1.0274E-259	1.2933E-257
FBgn0010409	73875.94805	14425.63262	2.352442625	0.068358183	1.5854E-259	1.9759E-257
FBgn0037603	1330.658849	200.3359429	2.723684711	0.079526002	4.516E-257	5.5726E-255
FBgn0027950	1181.292506	168.0702983	2.800058192	0.081833443	1.372E-256	1.6763E-254
FBgn0028664	2503.467599	720.9204484	1.794603125	0.05257784	2.4474E-255	2.9613E-253
FBgn0038976	2465.237357	594.7473305	2.04807428	0.060214962	1.4452E-253	1.7319E-251
FBgn0025558	1085.654725	121.35735	3.150086772	0.092708856	4.6653E-253	5.5375E-251
FBgn0029665	2055.765615	479.6504787	2.09741953	0.061738803	5.6832E-253	6.682E-251
FBgn0040899	4051.724381	288.4644947	3.792763477	0.112296879	4.682E-250	5.4534E-248
FBgn0030610	1684.287087	250.9015054	2.736452283	0.081084031	1.1303E-249	1.3044E-247
FBgn0263488	7118.437959	287.0197644	4.614214353	0.13675806	1.4996E-249	1.7146E-247
FBgn0037305	2067.839502	491.6898984	2.067007952	0.061355999	8.4431E-249	9.5661E-247
FBgn0259211	1094.630211	104.5021625	3.364165614	0.100078738	1.0064E-247	1.13E-245
FBgn0035639	1994.252386	486.3925537	2.030634863	0.06090255	9.3998E-244	1.046E-241
FBgn0011604	538.6358251	3021.894331	-2.483251619	0.074607889	6.5725E-243	7.249E-241
FBgn0037624	792.0466949	2953.028851	-1.896159981	0.057086584	6.4292E-242	7.0287E-240
FBgn0036188	2595.787784	637.1260877	2.024041694	0.061096402	1.1496E-240	1.2459E-238
FBgn0003941	44870.31666	8415.554333	2.409228544	0.072892456	1.4646E-239	1.5735E-237
FBgn0032390	4983.628699	967.9693396	2.35844733	0.07145238	6.3903E-239	6.807E-237
FBgn0034728	597.9096014	2920.28163	-2.279225143	0.06912035	1.8706E-238	1.9757E-236
FBgn0028833	3376.287668	824.4594574	2.028458985	0.061746107	1.0803E-236	1.1314E-234
FBgn0037874	48956.58063	14648.1211	1.739380996	0.052983155	2.2757E-236	2.3635E-234
FBgn0016762	1255.83941	207.5595947	2.587423193	0.078847061	3.5137E-236	3.6191E-234
FBgn0086768	3162.369032	361.6641662	3.113829516	0.095546401	5.7373E-233	5.861E-231
FBgn0034879	3606.70008	601.0078288	2.578047008	0.079153623	1.085E-232	1.0994E-230
FBgn0030797	1499.629044	188.2965233	2.973148563	0.091609083	4.6443E-231	4.6679E-229
FBgn0037074	971.3253798	3064.754665	-1.655323856	0.051183818	1.8708E-229	1.8652E-227
FBgn0010198	27666.90463	5953.733804	2.212654595	0.068430924	2.3188E-229	2.2936E-227
FBgn0029915	2410.596507	675.6522306	1.833989197	0.056794955	9.2336E-229	9.0613E-227
FBgn0010612	12880.72349	2242.703092	2.516564957	0.078075942	6.234E-228	6.0699E-226
FBgn0000447	2060.173349	661.204927	1.637811102	0.050859425	1.6175E-227	1.5627E-225
FBgn0031224	3281.823033	817.2358056	2.003051782	0.062351386	1.9602E-226	1.8793E-224
FBgn0032208	1996.752538	5664.306155	-1.500020433	0.046693854	2.0008E-226	1.9035E-224
FBgn0039757	112100.0696	22583.54337	2.306361779	0.07194965	1.8569E-225	1.7532E-223
FBgn0030366	1150.25452	3507.805308	-1.605868247	0.050271299	6.5375E-224	6.1261E-222
FBgn0027084	6411.7559	2668.898547	1.264488735	0.039590983	7.7276E-224	7.1872E-222
FBgn0033928	4447.646887	1533.340486	1.535532295	0.048085408	9.175E-224	8.4702E-222
FBgn0037999	6706.55475	1418.725211	2.236383239	0.070042115	1.0531E-223	9.6509E-222
FBgn0031903	2230.405536	264.8672322	3.056431668	0.09574783	1.3358E-223	1.2152E-221
FBgn0053002	1225.731544	246.5673144	2.308459194	0.072385296	3.528E-223	3.1862E-221
FBgn0085452	885.1014753	94.87062682	3.205762895	0.100743029	3.2969E-222	2.956E-220
FBgn0011455	7042.137013	1484.701231	2.240699259	0.070463028	6.5467E-222	5.8279E-220
FBgn0261608	45191.34367	9308.879271	2.275202607	0.071557049	7.4352E-222	6.572E-220
FBgn0003884	122819.6959	28502.60365	2.102238199	0.066275289	8.2902E-221	7.2761E-219
FBgn0051721	4252.40798	383.3351216	3.451628295	0.109159264	1.9538E-219	1.7028E-217
FBgn0086710	36497.28457	6749.780231	2.429909002	0.076935085	6.1457E-219	5.319E-217
FBgn0024698	486.8268393	2269.189815	-2.213648769	0.070201033	3.0675E-218	2.6365E-216
FBgn0023506	1821.212166	412.2297287	2.139281106	0.067972994	2.0656E-217	1.7633E-215
FBgn0011747	931.6732883	6663.577986	-2.823206167	0.090304998	1.4859E-214	1.2598E-212
FBgn0000163	3258.50454	10887.96955	-1.735999693	0.055591765	4.492E-214	3.7827E-212
FBgn0038925	3355.587841	1003.606022	1.739101229	0.055696279	4.9201E-214	4.1154E-212
FBgn0031310	2390.157219	778.228086	1.614692142	0.051782955	1.8735E-213	1.5566E-211
FBgn0021761	1256.82287	3504.915848	-1.477916086	0.047435413	4.156E-213	3.4302E-211
FBgn0043456	1726.006778	4699.226277	-1.44574052	0.046409776	4.8195E-213	3.9517E-211
FBgn0259247	5059.484937	463.7584448	3.423251442	0.109896025	5.0861E-213	4.143E-211
FBgn0025836	785.3224977	2738.727181	-1.797457399	0.057985076	5.6262E-211	4.5532E-209
FBgn0000404	1881.504908	6833.574591	-1.854923866	0.059945583	3.1111E-210	2.5015E-208
FBgn0261790	8157.597721	1555.011442	2.385834355	0.077435987	1.901E-208	1.5187E-206
FBgn0261791	2877.582467	765.2255127	1.907579262	0.061936572	2.7095E-208	2.1509E-206
FBgn0032871	938.3974855	139.6572679	2.738022873	0.089121287	2.8556E-207	2.2525E-205
FBgn0023081	463.3661604	2376.099861	-2.350142715	0.07650987	3.3899E-207	2.6572E-205
FBgn0037609	2116.236048	419.9349573	2.324972242	0.075718887	4.834E-207	3.7653E-205
FBgn0038834	52648.05325	10532.08431	2.316531224	0.075611215	3.8894E-206	3.0107E-204
FBgn0033162	5918.441732	1346.007117	2.131942447	0.069678874	1.3548E-205	1.0423E-203
FBgn0033005	386.2717621	2783.032246	-2.834957211	0.092724868	2.725E-205	2.0835E-203
FBgn0001105	1825.963447	7818.880695	-2.094902447	0.068583886	6.5664E-205	4.9901E-203
FBgn0014391	2484.361314	666.0206949	1.895564946	0.062143284	2.368E-204	1.7886E-202
FBgn0004191	34519.2192	2029.364576	4.061181154	0.13336477	1.1381E-203	8.5449E-202
FBgn0262952	31.23351015	15357.96528	-8.452677925	0.277908362	3.4433E-203	2.5697E-201
FBgn0031068	1504.131621	347.2168626	2.11028682	0.069424697	6.0596E-203	4.4953E-201
FBgn0035233	1490.446199	373.7035858	1.992304807	0.065883842	7.1358E-201	5.2624E-199
FBgn0021967	4505.587499	701.657377	2.672173492	0.08848062	2.3215E-200	1.7019E-198
FBgn0033751	5849.54688	1153.376402	2.335684497	0.07748339	1.273E-199	9.278E-198
FBgn0036815	2832.005948	1165.897399	1.279401194	0.042467752	2.1851E-199	1.5833E-197
FBgn0261995	3628.780253	672.7627699	2.422802181	0.080544413	8.7641E-199	6.3137E-197
FBgn0019938	359.4104796	2048.14607	-2.498017511	0.083054949	9.7797E-199	7.0049E-197
FBgn0019936	74412.37129	7277.106811	3.338834572	0.111067711	1.5562E-198	1.1083E-196
FBgn0030311	2730.384564	475.3162877	2.516999854	0.083788187	2.9466E-198	2.0866E-196
FBgn0039359	41009.5953	8001.879874	2.35129693	0.078518337	4.9855E-197	3.5104E-195
FBgn0037885	2535.139499	537.439693	2.2328702	0.074605086	8.2084E-197	5.7473E-195
FBgn0013347	1893.632134	598.1183681	1.658629016	0.055436941	1.1073E-196	7.7099E-195
FBgn0030025	2144.08079	482.0583627	2.14791816	0.07188195	3.4549E-196	2.3922E-194
FBgn0003447	703.648512	2598.588337	-1.884096925	0.063078196	4.9411E-196	3.4023E-194
FBgn0032242	829.0209429	2809.037392	-1.761734271	0.058991608	5.7509E-196	3.9381E-194
FBgn0035001	1483.644991	3734.627974	-1.327601093	0.044620933	1.5918E-194	1.084E-192
FBgn0032248	1386.502353	354.4405144	1.9627713	0.066061305	5.477E-194	3.7098E-192
FBgn0004403	44334.60818	9315.139769	2.245799598	0.075608965	7.0607E-194	4.7566E-192
FBgn0013684	66.91625809	13768.28031	-7.327756421	0.247682428	2.3105E-192	1.5481E-190
FBgn0032394	3147.77716	584.634218	2.420372232	0.081900218	6.0637E-192	4.0413E-190
FBgn0023170	42072.83974	9944.079051	2.078346937	0.070409049	1.6826E-191	1.1155E-189
FBgn0043001	2219.397956	262.4593483	3.065674401	0.103971134	4.3756E-191	2.8853E-189
FBgn0031489	9004.498303	2930.394742	1.616500589	0.054900139	1.4858E-190	9.7461E-189
FBgn0038320	1187.850847	4806.6179	-2.010968588	0.068300313	1.5459E-190	1.0087E-188
FBgn0034246	1636.370434	5547.764573	-1.757510489	0.059717925	2.2566E-190	1.4648E-188
FBgn0036486	673.9672011	2953.028851	-2.128496425	0.072382925	4.5948E-190	2.9671E-188
FBgn0262519	1684.506282	5768.808318	-1.772755901	0.06048188	7.615E-189	4.8921E-187
FBgn0015477	1041.037996	3196.706705	-1.608880661	0.054919748	1.1967E-188	7.6484E-187
FBgn0261569	1297.334069	50.08398573	4.613231417	0.157564411	1.9548E-188	1.243E-186
FBgn0027567	460.3269369	2517.683437	-2.441003136	0.0834261	3.403E-188	2.1529E-186
FBgn0027785	6266.447746	887.0644396	2.808197606	0.09608939	9.3766E-188	5.902E-186
FBgn0263395	4728.470106	1489.516999	1.662889997	0.056941942	1.7632E-187	1.1043E-185
FBgn0010265	63072.12774	10663.55477	2.554068097	0.087460162	1.7949E-187	1.1185E-185
FBgn0003165	7617.593386	2251.853051	1.753194603	0.060089598	3.8716E-187	2.4006E-185
FBgn0016038	1992.326971	709.8441824	1.486850111	0.050968193	4.3798E-187	2.7023E-185
FBgn0037847	1467.19288	387.6693126	1.916835974	0.065722339	5.2874E-187	3.2462E-185
FBgn0261606	89712.24366	15335.33117	2.540857804	0.087242824	1.7849E-186	1.0904E-184
FBgn0038313	1384.47026	320.2485626	2.104181502	0.072413064	1.218E-185	7.4049E-184
FBgn0027948	1166.771807	4061.137035	-1.793519232	0.06201279	6.359E-184	3.8472E-182
FBgn0034743	72584.42117	13201.46443	2.45189039	0.084917013	2.5355E-183	1.5266E-181
FBgn0010078	59578.05319	13059.39928	2.184576511	0.075735647	5.8949E-183	3.5321E-181
FBgn0024555	726.7478108	2410.77339	-1.727656268	0.059910444	7.3088E-183	4.3584E-181
FBgn0033699	72084.60768	12588.89876	2.509864137	0.087254382	5.8968E-182	3.4996E-180
FBgn0014455	11201.00416	2160.835038	2.365759891	0.082259143	6.8228E-182	4.03E-180
FBgn0263352	1510.156729	4457.47473	-1.558832513	0.054214779	8.3304E-182	4.8972E-180
FBgn0031381	12306.68345	1986.022665	2.622058536	0.091202205	9.0715E-182	5.3079E-180
FBgn0015396	608.5913067	2570.656883	-2.073388069	0.072131212	1.0559E-181	6.1491E-180
FBgn0035422	22806.14157	3582.931287	2.658548925	0.09255265	1.8746E-181	1.0866E-179
