	Mean_cyto	Mean_total	log2FoldChange	lfcSE	pvalue	padj
FBgn0051898	548.0378657	237.4173554	1.190811038	0.151367271	3.63156E-15	1.32031E-14
FBgn0035438	2861.912292	1698.521324	0.749371292	0.095299387	3.7403E-15	1.35944E-14
FBgn0037350	402.1017946	177.701834	1.16069308	0.147691902	3.8758E-15	1.40828E-14
FBgn0030758	728.7799042	1363.343881	-0.897440936	0.114205846	3.90005E-15	1.41668E-14
FBgn0087008	1437.949959	2502.272979	-0.799967269	0.101865332	4.05603E-15	1.47291E-14
FBgn0040333	75.82656908	19.26307143	1.908200688	0.243066849	4.14322E-15	1.50414E-14
FBgn0030191	36.39367275	146.8809197	-1.941967362	0.247442182	4.22165E-15	1.53216E-14
FBgn0029502	572.4820039	368.4062412	0.633787831	0.080756588	4.22302E-15	1.53221E-14
FBgn0039730	111.5863272	256.1988501	-1.188100604	0.151509532	4.44293E-15	1.61153E-14
FBgn0034761	132.2921524	49.60240894	1.37822519	0.175817204	4.54269E-15	1.64724E-14
FBgn0032822	166.487876	68.38390359	1.270987314	0.162231984	4.71155E-15	1.70797E-14
FBgn0052537	452.0505405	221.5253215	1.020448117	0.130272891	4.75766E-15	1.72419E-14
FBgn0037892	267.5583536	115.5784286	1.193833345	0.152451587	4.84384E-15	1.75491E-14
FBgn0052320	42.96384957	5.297344645	2.882544605	0.368133487	4.87244E-15	1.76476E-14
FBgn0027949	731.6472743	456.0532162	0.675032007	0.08624604	5.00375E-15	1.81179E-14
FBgn0264075	506.4070202	309.6538733	0.699708179	0.089419004	5.07455E-15	1.83689E-14
FBgn0027553	225.7734877	441.1243359	-0.949214903	0.121332212	5.14677E-15	1.86249E-14
FBgn0263967	167.7675406	60.67867502	1.436158046	0.1836184	5.22276E-15	1.88944E-14
FBgn0086659	2536.37782	4639.029178	-0.847234345	0.108410048	5.49235E-15	1.98639E-14
FBgn0034583	166.5767215	53.45502323	1.597967436	0.20487588	6.20616E-15	2.24391E-14
FBgn0031713	1943.29651	1185.16047	0.712436461	0.091375192	6.34838E-15	2.29466E-14
FBgn0039305	374.3340629	182.5176018	1.029786435	0.132182309	6.6664E-15	2.40891E-14
FBgn0040237	1464.503201	2022.140924	-0.462960681	0.059455681	6.88083E-15	2.48567E-14
FBgn0029944	723.6967518	1162.526361	-0.679009329	0.087207056	6.90687E-15	2.49436E-14
FBgn0031379	1003.874061	553.8133038	0.84880214	0.109049389	7.04622E-15	2.54395E-14
FBgn0028538	529.3404632	1131.705447	-1.085627995	0.139530141	7.21823E-15	2.60529E-14
FBgn0020493	152.4292378	61.16025181	1.277486569	0.164244973	7.37185E-15	2.65997E-14
FBgn0020655	3078.651117	2165.650806	0.506346578	0.065155273	7.76338E-15	2.80043E-14
FBgn0263115	432.6243799	201.2990965	1.075197631	0.138474152	8.18976E-15	2.95338E-14
FBgn0003048	2642.89283	3997.087323	-0.594448697	0.076637451	8.72128E-15	3.14415E-14
FBgn0025117	4773.838944	2384.286667	0.994012134	0.128166566	8.79077E-15	3.16829E-14
FBgn0031766	140.1953333	50.56556252	1.464324286	0.188823929	8.8363E-15	3.18377E-14
FBgn0029117	305.7767601	140.6204215	1.113851432	0.143684127	9.03965E-15	3.2561E-14
FBgn0010607	740.0303494	292.7986858	1.317564444	0.169966074	9.05091E-15	3.25922E-14
FBgn0085377	90.81532723	240.7883929	-1.394205247	0.179878103	9.12912E-15	3.28643E-14
FBgn0025693	252.5695955	450.7558716	-0.834167196	0.107628406	9.15767E-15	3.29576E-14
FBgn0037525	205.9089369	83.31278396	1.288040962	0.166246752	9.35231E-15	3.36483E-14
FBgn0029789	116.9538496	261.0146179	-1.142088276	0.147471615	9.59876E-15	3.45251E-14
FBgn0035262	57.24168291	169.0334518	-1.534760791	0.198347515	1.01202E-14	3.6381E-14
FBgn0053516	23.60286381	0.481576786	3.956940757	0.511382501	1.01206E-14	3.6381E-14
FBgn0023512	2892.500212	1789.05776	0.691061751	0.089330593	1.02591E-14	3.68682E-14
FBgn0032846	590.664006	257.6435804	1.179548194	0.152489101	1.03164E-14	3.70633E-14
FBgn0011224	374.1800426	689.6179574	-0.877027527	0.113438093	1.06427E-14	3.82249E-14
FBgn0260972	839.6019672	571.150068	0.555260334	0.07182944	1.07326E-14	3.85366E-14
FBgn0015247	1089.120504	781.1175467	0.480001505	0.062101349	1.08118E-14	3.88099E-14
FBgn0036897	212.4257743	487.8372841	-1.18555711	0.153391942	1.08446E-14	3.89162E-14
FBgn0032819	112.7119715	366.9615108	-1.651799375	0.213726333	1.0876E-14	3.90176E-14
FBgn0010391	4363.194377	2777.253324	0.651092282	0.084265116	1.1036E-14	3.95803E-14
FBgn0000210	4295.792387	2186.840185	0.949024464	0.122848398	1.11706E-14	4.00517E-14
FBgn0022985	445.9839287	692.5074181	-0.633743528	0.082043521	1.12311E-14	4.02569E-14
FBgn0035435	147.837815	59.71552145	1.282409556	0.166059053	1.1397E-14	4.08398E-14
FBgn0086357	4180.621607	6856.2087	-0.708694395	0.091865014	1.21439E-14	4.35038E-14
FBgn0004638	1571.326252	3724.996439	-1.220541613	0.158231559	1.22277E-14	4.37914E-14
FBgn0003885	962.7231095	1378.272761	-0.519657947	0.067370624	1.2249E-14	4.38549E-14
FBgn0033524	109.9571178	25.04199287	2.053034152	0.266302915	1.26416E-14	4.52478E-14
FBgn0011236	530.2409145	842.2777985	-0.674380759	0.087495298	1.28183E-14	4.58669E-14
FBgn0036278	56.89213821	2.407883929	3.715112939	0.482639974	1.38773E-14	4.96419E-14
FBgn0004364	153.1283272	319.7669858	-1.041979209	0.135377342	1.39461E-14	4.98736E-14
FBgn0011327	894.8115567	1293.996824	-0.532973104	0.069255783	1.407E-14	5.03024E-14
FBgn0032702	567.0374714	832.6462628	-0.553057143	0.071878225	1.42201E-14	5.08245E-14
FBgn0034398	29029.22322	15904.07335	0.867357085	0.112854302	1.52239E-14	5.43966E-14
FBgn0023000	120.3544532	271.6093072	-1.172796836	0.152665613	1.56467E-14	5.58913E-14
FBgn0028926	279.4960528	144.9546125	0.939757966	0.122426062	1.63971E-14	5.8555E-14
FBgn0031894	39.22553659	151.6966875	-1.907688269	0.248660545	1.69523E-14	6.05204E-14
FBgn0036615	165.0778617	399.2271555	-1.245675035	0.162460716	1.75318E-14	6.25712E-14
FBgn0033109	1996.077119	2481.083601	-0.313519836	0.040892495	1.76164E-14	6.28552E-14
FBgn0038552	1505.032073	873.0987128	0.781235415	0.101905434	1.77059E-14	6.31564E-14
FBgn0030305	632.2593453	396.8192716	0.670886355	0.087537417	1.80236E-14	6.42714E-14
FBgn0032078	371.786569	712.2520663	-0.930252917	0.121402796	1.82301E-14	6.49892E-14
FBgn0037922	396.9297966	229.2305501	0.791839205	0.103443167	1.93578E-14	6.89894E-14
FBgn0031604	354.2621524	731.5151377	-1.032206401	0.134860572	1.95007E-14	6.94789E-14
FBgn0037244	1035.060229	620.2709002	0.737129333	0.096340656	1.98989E-14	7.08772E-14
FBgn0087002	14.27783334	106.9100465	-2.723188558	0.356167381	2.07632E-14	7.39348E-14
FBgn0039809	165.9191361	67.42075002	1.288627112	0.168545827	2.08039E-14	7.40586E-14
FBgn0029911	457.2995487	742.5914038	-0.698939156	0.091419582	2.08299E-14	7.41299E-14
FBgn0035464	2348.952928	1700.929208	0.463411501	0.060614263	2.08532E-14	7.41915E-14
FBgn0027581	355.7373414	618.3445931	-0.790672484	0.103456448	2.12939E-14	7.57379E-14
FBgn0038549	59.99653657	182.0360251	-1.560688638	0.204321151	2.19921E-14	7.81991E-14
FBgn0046692	241.8463862	805.6779628	-1.674569394	0.219410895	2.30932E-14	8.20907E-14
FBgn0010415	992.1200506	2441.594304	-1.276678612	0.167284089	2.31499E-14	8.22691E-14
FBgn0016697	2250.36477	1164.934245	0.947792502	0.124214176	2.34192E-14	8.32024E-14
FBgn0019952	182.5371036	63.08655895	1.487730686	0.195178231	2.48961E-14	8.84241E-14
FBgn0026207	565.6037864	919.811661	-0.691846911	0.090792216	2.53454E-14	8.99944E-14
FBgn0039751	375.5900568	188.7781001	0.98862223	0.129751076	2.54905E-14	9.04837E-14
FBgn0037134	679.7791115	306.2828358	1.146152029	0.150469678	2.59312E-14	9.20219E-14
FBgn0002899	221.8159796	539.847577	-1.260357179	0.165494432	2.62251E-14	9.30383E-14
FBgn0030318	435.1600385	693.4705717	-0.664937376	0.087313698	2.62675E-14	9.31621E-14
FBgn0038324	45.0847886	151.6966875	-1.694258172	0.222479748	2.63005E-14	9.32527E-14
FBgn0032858	517.5686198	314.4696412	0.715818633	0.094000475	2.63583E-14	9.34309E-14
FBgn0028541	717.9796847	1440.396167	-0.989343083	0.129948341	2.67067E-14	9.46391E-14
FBgn0037607	7320.850968	4221.502105	0.78725779	0.103414599	2.6856E-14	9.51409E-14
FBgn0033160	1309.384284	2119.901011	-0.691003012	0.090788513	2.71714E-14	9.62309E-14
FBgn0036118	227.1183271	106.4284697	1.093962006	0.14390591	2.91757E-14	1.033E-13
FBgn0038640	63.17794511	182.5176018	-1.500448868	0.197474744	3.00322E-14	1.06303E-13
FBgn0015623	964.7433676	1402.3516	-0.536195657	0.070573163	3.01376E-14	1.06645E-13
FBgn0010333	1093.036508	1906.080918	-0.798486001	0.105112569	3.04284E-14	1.07644E-13
FBgn0029687	2414.068123	6265.795561	-1.339468882	0.17633803	3.05355E-14	1.07992E-13
FBgn0037255	589.4791847	994.9376396	-0.743487025	0.097895435	3.08493E-14	1.09071E-13
FBgn0051155	608.5794713	402.598193	0.598356664	0.078819997	3.16389E-14	1.11831E-13
FBgn0039113	1260.626357	1709.59759	-0.436651764	0.057558234	3.2927E-14	1.16351E-13
FBgn0052009	27.41818698	188.2965233	-2.553246113	0.336575697	3.30062E-14	1.16598E-13
FBgn0035756	33.92318902	2.407883929	3.223253456	0.42502247	3.35773E-14	1.18581E-13
FBgn0039638	527.4742255	810.9753074	-0.621557128	0.081976541	3.39917E-14	1.20011E-13
FBgn0034646	1582.369337	932.8142342	0.758610315	0.100104853	3.50498E-14	1.23711E-13
FBgn0031529	816.8225446	374.1851626	1.114808425	0.147132028	3.5384E-14	1.24856E-13
FBgn0263320	37.16977234	3.371037501	2.952272873	0.389805734	3.62733E-14	1.27958E-13
FBgn0040010	1243.641012	2503.236133	-0.994539005	0.131315493	3.62851E-14	1.27963E-13
FBgn0004465	906.8025953	432.9375305	1.054156645	0.139216623	3.67351E-14	1.29513E-13
FBgn0037544	133.4177967	53.45502323	1.299670225	0.1717476	3.80982E-14	1.34281E-13
FBgn0037758	482.0280568	791.2306592	-0.714459196	0.094415256	3.81352E-14	1.34374E-13
FBgn0030834	849.1225221	484.9478234	0.809052828	0.106948867	3.88293E-14	1.36781E-13
FBgn0034626	227.829252	112.2073911	1.009969727	0.133529482	3.91926E-14	1.38021E-13
FBgn0030878	1889.254068	1014.200711	0.894746785	0.11833093	3.98772E-14	1.40393E-13
FBgn0030759	968.7778859	578.3737198	0.743782833	0.098373685	4.00627E-14	1.41006E-13
FBgn0024887	185.357132	402.1166162	-1.09539923	0.14494776	4.11838E-14	1.44911E-13
FBgn0036257	482.792321	727.6625234	-0.586956261	0.07769593	4.20374E-14	1.47872E-13
FBgn0036272	1510.488441	2000.951545	-0.408980469	0.054141531	4.22369E-14	1.48532E-13
FBgn0016126	244.0088292	626.0498216	-1.329951956	0.1760683	4.23344E-14	1.48749E-13
FBgn0035839	129.7446585	41.89718037	1.596423878	0.211345013	4.23263E-14	1.48749E-13
FBgn0038951	376.8815568	173.8492197	1.104870147	0.146270402	4.23344E-14	1.48749E-13
FBgn0039626	49.18448169	157.475609	-1.639002469	0.217015443	4.27082E-14	1.50021E-13
FBgn0033339	1507.852101	2418.960195	-0.681336118	0.090283214	4.46585E-14	1.56827E-13
FBgn0025790	792.1652091	1175.528934	-0.564490768	0.074800816	4.46817E-14	1.56864E-13
FBgn0030596	159.1415995	356.3668215	-1.143018823	0.15149195	4.52011E-14	1.58643E-13
FBgn0035981	1039.598313	721.883602	0.524162585	0.069507056	4.65873E-14	1.63462E-13
FBgn0001220	3209.722782	5324.312945	-0.723699645	0.095976836	4.68685E-14	1.64403E-13
FBgn0028685	1308.388989	2040.440842	-0.635061375	0.084224641	4.69647E-14	1.64694E-13
FBgn0026320	210.796565	103.539009	1.02135529	0.135458131	4.69945E-14	1.64752E-13
FBgn0023528	691.1184022	1389.349027	-0.996508757	0.132269593	4.92387E-14	1.72571E-13
FBgn0036921	3115.660871	9397.970976	-1.532149296	0.203440191	5.02751E-14	1.76154E-13
FBgn0082963	40.20899592	160.3650697	-1.893161484	0.251396629	5.05169E-14	1.76951E-13
FBgn0037236	685.9049002	1078.732	-0.652604731	0.086691965	5.15797E-14	1.80623E-13
FBgn0030468	453.0576706	274.4987679	0.713903952	0.094894369	5.34747E-14	1.87206E-13
FBgn0035983	435.1066991	745.9624413	-0.776303263	0.103190559	5.35307E-14	1.8735E-13
FBgn0040347	174.1185223	362.145743	-1.039343092	0.13817432	5.3957E-14	1.88789E-13
FBgn0029980	833.2391502	421.3796876	0.977965267	0.130028286	5.42869E-14	1.8989E-13
FBgn0015379	687.9606645	440.1611823	0.640627495	0.085178912	5.4374E-14	1.90141E-13
FBgn0028420	206.7857175	402.1166162	-0.966682754	0.12862607	5.67156E-14	1.98274E-13
FBgn0000064	6308.931541	10078.92055	-0.672604935	0.08950453	5.70161E-14	1.99268E-13
FBgn0263755	73.77080484	202.2622501	-1.410375974	0.187689448	5.7167E-14	1.9974E-13
FBgn0031645	95.82146947	265.348809	-1.431703868	0.190589647	5.82438E-14	2.03445E-13
FBgn0030465	406.9124125	180.1097179	1.160957975	0.15460308	5.9453E-14	2.07611E-13
FBgn0033081	524.4113311	257.1620037	1.020977528	0.135992556	6.02218E-14	2.10237E-13
FBgn0032476	941.8750994	672.2811931	0.482298461	0.064288321	6.27956E-14	2.1916E-13
FBgn0001230	1407.065994	991.5666021	0.502791446	0.067039136	6.38329E-14	2.22718E-13
FBgn0030737	43.67477438	5.77892143	2.634817301	0.351389851	6.46637E-14	2.25554E-13
FBgn0033426	516.7925202	336.1405965	0.617175703	0.082314134	6.48931E-14	2.26291E-13
FBgn0002945	236.8047377	119.9126197	0.967774613	0.129161032	6.74322E-14	2.35079E-13
FBgn0033434	706.7529104	994.9376396	-0.493980659	0.065999995	7.17894E-14	2.50199E-13
FBgn0022699	343.3849227	571.150068	-0.73617447	0.098369966	7.22412E-14	2.51703E-13
FBgn0039554	342.4666381	630.3840127	-0.880455144	0.11770176	7.4102E-14	2.58114E-13
FBgn0034093	321.7489775	526.8450037	-0.707465415	0.094614721	7.58483E-14	2.64123E-13
FBgn0028997	452.3467458	270.6461537	0.736243403	0.098502685	7.75872E-14	2.70102E-13
FBgn0035986	323.7929064	666.0206949	-1.031315676	0.137981343	7.76085E-14	2.70102E-13
FBgn0015376	82.75812601	242.7147001	-1.53379792	0.205294844	7.94695E-14	2.76501E-13
FBgn0038195	834.0922599	1193.347275	-0.515428812	0.06904899	8.35005E-14	2.90446E-13
FBgn0039013	368.1667702	174.3307965	1.065833328	0.142790567	8.3736E-14	2.91184E-13
FBgn0002571	38.7989817	4.334191073	2.73648327	0.366633779	8.40586E-14	2.92224E-13
FBgn0032202	287.1266991	158.4387626	0.850681477	0.114029547	8.64013E-14	3.00284E-13
FBgn0031871	844.0985466	468.5742127	0.836868797	0.112185195	8.67144E-14	3.01289E-13
FBgn0036690	39.14852641	4.815767859	2.688261511	0.360463593	8.79863E-14	3.05622E-13
FBgn0029657	118.6482337	35.15510537	1.655037406	0.221935804	8.83269E-14	3.0672E-13
FBgn0034223	1322.690494	2032.254036	-0.61451166	0.082511812	9.50824E-14	3.30087E-13
FBgn0243514	22.68457926	143.991459	-2.461920809	0.330594403	9.5521E-14	3.31517E-13
FBgn0011571	44.94260364	143.5098822	-1.631093171	0.219164052	9.8918E-14	3.43211E-13
FBgn0025637	1871.569634	2451.707417	-0.388615276	0.05224447	1.01912E-13	3.53501E-13
FBgn0040477	376.7927113	135.3230768	1.451539615	0.19523055	1.04566E-13	3.62606E-13
FBgn0027889	1304.324803	835.5357235	0.639343783	0.086004601	1.05496E-13	3.65728E-13
FBgn0022702	2765.889461	1642.658417	0.749069229	0.100769105	1.05745E-13	3.66489E-13
FBgn0050345	32.29397966	124.7283875	-1.877354061	0.252745143	1.10374E-13	3.82426E-13
FBgn0004629	143.3885772	57.7892143	1.304083828	0.175766082	1.17627E-13	4.07445E-13
FBgn0027608	66.1401585	14.92888036	2.009454889	0.271026593	1.22329E-13	4.23613E-13
FBgn0085387	57.81042276	11.07626608	2.188809792	0.295307643	1.24442E-13	4.30811E-13
FBgn0005630	3777.998574	4809.50736	-0.347700404	0.046916554	1.25314E-13	4.33709E-13
FBgn0002441	309.1003536	631.8287431	-1.028038469	0.138746784	1.26817E-13	4.38788E-13
FBgn0028670	3711.271842	2379.952476	0.636519653	0.085920204	1.27962E-13	4.4263E-13
FBgn0033438	841.5688859	1225.131343	-0.53709158	0.072543725	1.32447E-13	4.58015E-13
FBgn0038326	853.9449754	1167.342129	-0.448538434	0.060585804	1.32782E-13	4.59048E-13
FBgn0036640	172.6433333	371.2957019	-1.092798138	0.147609783	1.3285E-13	4.59156E-13
FBgn0014135	725.4029713	314.951218	1.177455129	0.159134101	1.37072E-13	4.73614E-13
FBgn0030600	238.7301524	413.1928823	-0.80289275	0.108514974	1.37305E-13	4.74287E-13
FBgn0025879	414.8155934	835.0541467	-0.994081095	0.134395723	1.3964E-13	4.8222E-13
FBgn0031260	5656.30408	3176.48048	0.826990859	0.111812792	1.40127E-13	4.83767E-13
FBgn0033649	1413.179947	415.6007662	1.704323803	0.230567591	1.44787E-13	4.99717E-13
FBgn0263605	244.1510141	430.0480698	-0.805841162	0.109162266	1.55872E-13	5.37828E-13
FBgn0036510	1432.67728	1007.940213	0.510249858	0.06915014	1.59639E-13	5.50674E-13
FBgn0039697	1784.279262	882.7302485	1.009476575	0.13682751	1.6101E-13	5.55247E-13
FBgn0038673	309.8882886	173.3676429	0.827893904	0.112285471	1.66684E-13	5.74657E-13
FBgn0037998	664.2452843	1179.863125	-0.817189963	0.11088215	1.70761E-13	5.88548E-13
FBgn0029167	42.67947965	143.5098822	-1.677065276	0.227622406	1.7353E-13	5.97928E-13
FBgn0027930	447.4591177	791.2306592	-0.810037267	0.110094175	1.8714E-13	6.44631E-13
FBgn0036036	266.7704186	126.6546947	1.064239249	0.144644072	1.87188E-13	6.44631E-13
FBgn0050105	427.310197	169.5150286	1.325214107	0.180159132	1.8979E-13	6.53414E-13
FBgn0026144	70.38203656	200.3359429	-1.47316206	0.200312756	1.91916E-13	6.6055E-13
FBgn0030362	452.1512215	208.5227483	1.104628518	0.150253211	1.95585E-13	6.72991E-13
FBgn0004606	1774.237469	911.6248557	0.928559212	0.126318418	1.96817E-13	6.77042E-13
FBgn0030347	282.8314817	127.6178483	1.12257542	0.15271954	1.97366E-13	6.78744E-13
FBgn0027539	247.628628	430.5296466	-0.799983487	0.108840915	1.98169E-13	6.81319E-13
FBgn0036993	116.5924695	36.59983573	1.633990364	0.222417997	2.03488E-13	6.99412E-13
FBgn0011336	2908.821814	4779.6496	-0.71148091	0.096857259	2.0474E-13	7.03521E-13
FBgn0034902	1170.450782	608.7130573	0.938111889	0.127726815	2.0626E-13	7.08551E-13
FBgn0000579	14850.14637	7711.007495	0.93854595	0.127786937	2.06351E-13	7.08667E-13
FBgn0034022	92.29051623	28.89460715	1.565002068	0.213148479	2.09939E-13	7.20792E-13
FBgn0037332	369.5352804	207.0780179	0.820084082	0.111752238	2.16141E-13	7.41881E-13
FBgn0030189	697.9196096	1034.908513	-0.56781969	0.077383434	2.17227E-13	7.45402E-13
FBgn0013987	3935.149584	5480.8254	-0.475073074	0.064755626	2.19418E-13	7.52714E-13
FBgn0034657	288.0449837	496.987243	-0.787112053	0.107352926	2.26737E-13	7.77606E-13
FBgn0050295	315.3861605	179.6281411	0.807646028	0.110154868	2.26889E-13	7.77913E-13
FBgn0002921	3101.412706	5159.132107	-0.733854466	0.100164813	2.36295E-13	8.0994E-13
FBgn0024542	447.7316523	261.9777715	0.776801526	0.106034069	2.37192E-13	8.1279E-13
FBgn0035515	1345.659443	960.7456878	0.485325406	0.066280811	2.43827E-13	8.35298E-13
FBgn0085386	32.43616462	2.889460715	2.916010051	0.398269847	2.4486E-13	8.38605E-13
FBgn0003887	33555.87728	18512.7748	0.855799211	0.117018844	2.60572E-13	8.92174E-13
FBgn0038149	4821.595739	3022.857485	0.672363397	0.091992942	2.69421E-13	9.22218E-13
FBgn0264652	2837.000255	3656.130958	-0.364653945	0.049901657	2.72256E-13	9.31667E-13
FBgn0035106	522.8828027	764.743936	-0.553888933	0.075823013	2.77217E-13	9.48382E-13
FBgn0030973	1035.640805	729.1072538	0.503080628	0.06890374	2.85193E-13	9.75399E-13
FBgn0020261	441.0963007	855.2803717	-0.950557681	0.130210148	2.8738E-13	9.82612E-13
FBgn0026370	742.6548535	1097.995072	-0.566330999	0.07759648	2.91186E-13	9.95352E-13
FBgn0035227	328.1769694	584.634218	-0.827671864	0.113411466	2.92173E-13	9.9845E-13
FBgn0010213	2158.328955	1141.336983	0.916850415	0.125654692	2.95159E-13	1.00838E-12
FBgn0026679	630.8493311	978.0824521	-0.62976887	0.086312744	2.95657E-13	1.0098E-12
FBgn0030629	137.3753048	53.45502323	1.333407911	0.182778303	2.98172E-13	1.01811E-12
FBgn0052442	279.4842174	135.8046536	1.031021187	0.141331277	2.9851E-13	1.01899E-12
FBgn0034215	668.4574937	399.2271555	0.739209615	0.101340922	3.00248E-13	1.02464E-12
FBgn0035968	252.4274105	633.2734734	-1.29889395	0.178071953	3.0042E-13	1.02495E-12
FBgn0036932	371.2830039	217.6727072	0.769547265	0.10551022	3.01825E-13	1.02946E-12
FBgn0037579	82.53893087	25.52356965	1.652176953	0.226543419	3.0317E-13	1.03376E-12
FBgn0032429	410.5085405	215.7464001	0.918840034	0.125993865	3.03722E-13	1.03536E-12
FBgn0010341	2286.047518	4060.173882	-0.821144641	0.112624356	3.07653E-13	1.04848E-12
FBgn0038118	330.2979084	525.4002734	-0.66512085	0.091246893	3.11699E-13	1.06198E-12
FBgn0035047	99.07988819	256.6804269	-1.354993609	0.18601327	3.23124E-13	1.1006E-12
FBgn0038020	4044.200093	2470.488912	0.710687425	0.097568992	3.24191E-13	1.10393E-12
FBgn0031453	3078.757636	1420.651518	1.098317959	0.150812278	3.27246E-13	1.11403E-12
FBgn0039303	1423.334416	2665.045933	-0.893198928	0.122661556	3.29355E-13	1.1209E-12
FBgn0031298	1199.124963	778.7096628	0.614992967	0.084477385	3.3389E-13	1.13603E-12
FBgn0033502	61.26436582	12.03941965	2.162795273	0.297108508	3.35111E-13	1.13987E-12
FBgn0037008	602.4595202	294.724993	1.023620065	0.140709742	3.47211E-13	1.18071E-12
FBgn0038638	109.246193	257.1620037	-1.202916075	0.165359423	3.47566E-13	1.18159E-12
FBgn0039642	698.4113392	427.1586091	0.706506228	0.097159019	3.55127E-13	1.20697E-12
FBgn0035407	192.288689	81.8680536	1.206029999	0.165886902	3.58971E-13	1.2197E-12
FBgn0032876	228.3861564	501.8030109	-1.113764079	0.153202192	3.59763E-13	1.22206E-12
FBgn0083025	28.41348171	120.8757733	-2.011177587	0.276808634	3.71418E-13	1.2613E-12
FBgn0259715	500.2633983	291.3539555	0.775614197	0.106786754	3.78021E-13	1.28338E-12
FBgn0264702	110.863567	22.15253215	2.19803904	0.302646927	3.79391E-13	1.28768E-12
FBgn0031485	371.2711685	194.5570215	0.93793754	0.129176626	3.84546E-13	1.30482E-12
FBgn0002031	3242.792861	2081.374869	0.636177086	0.087719661	4.09484E-13	1.38906E-12
FBgn0032135	109.6845833	304.3565287	-1.44590313	0.199468678	4.20565E-13	1.42626E-12
FBgn0035247	576.9312417	365.9983573	0.654640225	0.090315957	4.21929E-13	1.4305E-12
FBgn0015737	1559.749933	818.680536	0.905187615	0.125001068	4.43949E-13	1.50474E-12
FBgn0034706	163.5256626	69.82863395	1.206930125	0.166671513	4.44174E-13	1.5051E-12
FBgn0031043	397.587382	179.6281411	1.116865063	0.154352367	4.62744E-13	1.56759E-12
FBgn0085261	222.1891951	110.7626608	0.985327255	0.136244944	4.75834E-13	1.6115E-12
FBgn0004512	388.3156909	597.6367913	-0.618020427	0.085734036	5.65395E-13	1.91429E-12
FBgn0038181	26.92645732	119.4310429	-2.065707233	0.286793902	5.90064E-13	1.99728E-12
FBgn0035947	773.5269835	1230.910265	-0.665754737	0.092448558	5.96178E-13	2.01742E-12
FBgn0037539	499.9020181	320.2485626	0.638704546	0.088723185	6.07243E-13	2.05431E-12
FBgn0263480	118.5712235	369.8509715	-1.58924308	0.220795403	6.11879E-13	2.06943E-12
FBgn0035028	267.4813434	536.9581162	-0.994347539	0.138153285	6.13615E-13	2.07474E-12
FBgn0010504	260.8341564	453.1637555	-0.790757138	0.110012691	6.58089E-13	2.22451E-12
FBgn0039381	319.1896482	517.213468	-0.682132125	0.09490444	6.59555E-13	2.22886E-12
FBgn0032691	43.39040446	144.4730358	-1.685252188	0.234528046	6.68554E-13	2.25866E-12
FBgn0030552	775.0258433	457.9795234	0.75363239	0.104910318	6.79058E-13	2.29352E-12
FBgn0053172	106.3491544	235.4910483	-1.119871792	0.155907693	6.82403E-13	2.3042E-12
FBgn0037891	2508.722445	1476.032849	0.761300437	0.105998122	6.8595E-13	2.31555E-12
FBgn0001137	424.8633841	212.3753626	0.991354956	0.138213666	7.35726E-13	2.4829E-12
FBgn0011217	11874.11209	5463.970212	1.103165329	0.153872018	7.5344E-13	2.54199E-12
FBgn0263780	964.5360078	524.4371198	0.874064111	0.122086516	8.10411E-13	2.73346E-12
FBgn0082960	50.24495121	150.733534	-1.533772515	0.214499165	8.64734E-13	2.9159E-12
FBgn0040001	15.68784756	100.1679715	-2.484208132	0.347470345	8.71513E-13	2.93797E-12
FBgn0035955	79.57671747	13.48415	2.332459769	0.326354217	8.86826E-13	2.98878E-12
FBgn0004569	121.4800975	321.693293	-1.37136182	0.191913189	8.95121E-13	3.01592E-12
FBgn0031435	57.52605284	11.55784286	2.125880275	0.297568159	9.05352E-13	3.04957E-12
FBgn0027597	713.7911461	349.1431698	1.022418509	0.143211782	9.38711E-13	3.16108E-12
FBgn0050394	325.9256808	589.9315627	-0.851752931	0.119327278	9.47285E-13	3.18909E-12
FBgn0259166	803.8540445	1128.815986	-0.490279719	0.068714155	9.67439E-13	3.25606E-12
FBgn0036248	931.1697233	677.5785377	0.461875439	0.064737463	9.70741E-13	3.26629E-12
FBgn0062442	1069.872034	564.8895698	0.915876513	0.128450779	1.00242E-12	3.37196E-12
FBgn0003950	42.18774999	135.8046536	-1.639395511	0.229949062	1.00818E-12	3.39043E-12
FBgn0038325	131.8655975	278.3513822	-1.06648967	0.149593746	1.00925E-12	3.39311E-12
FBgn0041719	15.83003252	0	4.575052989	0.641988111	1.03041E-12	3.46332E-12
FBgn0038519	1114.684288	664.0943877	0.743096846	0.104292094	1.03967E-12	3.49351E-12
FBgn0030956	1044.580784	1427.87517	-0.44464123	0.062438692	1.06956E-12	3.59299E-12
FBgn0053229	2282.368542	1303.628359	0.802820586	0.112743866	1.07343E-12	3.60501E-12
FBgn0052195	143.8803069	298.0960305	-1.039649148	0.146036174	1.08618E-12	3.64683E-12
FBgn0025639	867.4348737	1424.504133	-0.715984566	0.100586447	1.09424E-12	3.6729E-12
FBgn0033010	475.6889105	1792.910374	-1.821260905	0.25590079	1.10255E-12	3.69979E-12
FBgn0038787	1319.692774	1823.731288	-0.463565092	0.065160677	1.12576E-12	3.77668E-12
